id,interest,year,pid,gender,activity,pride,routine,outoftouch,fbcommunity,shutdown,friends,time,trust,job,loan,advice,notimportant,connected,spendtime,newthings,community,newpeople,group,motives,dontshare,depend,dontunderstand,alone,cares,support,romantic,needromance,agreeable,conscientious,extraverted,neurotic,open,facebook,linkedin,degree,cluster,effective,constraint,hierarchy,betweenness,isolates,fdegree,mdegree,odegree,pisolates
Wildcat248,,,,,,,,,,,,,3,5,4,5,1,5,4,5,5,5,,,,,,,,,,,,,,,,0,1,58,5.32,45.900002,4.4699998,0.95999998,1529.1,,,,,
Wildcat249,,,,,,,,,,,,,4,2,3,5,1,3,4,4,4,4,,,,,,,,,,,,,,,,0,1,25,39.17,-12.6,12.19,2.74,167,,,,,
Wildcat250,,,,,,,,,,,,,5,5,5,5,1,4,4,5,5,5,5,5,2,5,1,1,5,5,1,3,,,,,,0,1,6,73.33,-8.6999998,53.23,11.47,3.5,,,,,
Wildcat251,,,,,,,,,,,,,5,5,1,5,2,5,5,5,5,5,5,3,1,5,4,5,5,5,1,5,,,,,,0,1,16,0.1958,4.3,16.61,3.46,92.3,,,,,
Wildcat252,,,,,,,,,,,,,5,4,5,5,1,5,5,5,5,5,5,5,1,5,1,1,5,5,3,2,,,,,,0,1,80,-0.0063,82,1.25,0,3160,,,,,
Wildcat253,,,,,,,,,,,,,,,,,,,,,,,5,5,2,5,2,1,5,5,5,2,,,,,,0,1,2,-50,4,50,0,1,,,,,
Wildcat254,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,1,1,5,5,1,4,,,,,,0,1,8,10.71,5,24.74,2.8599999,23,,,,,
Wildcat255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,4,,0,1,,,,,
Wildcat256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,-1,,12.5,0,,,,,
Wildcat257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,4,,0,1,,,,,
Wildcat258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,,-0.5,,14.81,0,,,,,
Wildcat259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,-25,5,33.330002,0,3,,,,,
Wildcat260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,12.5,3,38.220001,4.8899999,8,,,,,
